Year	SMI_PupCnt	SNI_PupCnt	SBI_PupCnt	SCI_PupCnt	US_PupCnt	Other_PupCnt
1975	7166	3990	711	632	12499	0
1976	9269	4381	582	512	14749	5
1977	7095	3773	492	351	11712	1
1978	NA	NA	NA	NA	NA	0
1979	NA	NA	NA	NA	NA	0
1980	NA	NA	NA	NA	NA	0
1981	8601	6704	730	666	16701	0
1982	10537	8244	818	941	20540	0
1983	7619	3386	237	353	11595	0
1984	9228	3631	280	411	13550	0
1985	9516	NA	543	609	NA	0
1986	12065	NA	796	718	NA	0
1987	12760	NA	917	782	NA	0
1988	11077	NA	1089	803	NA	0
1989	12704	NA	1307	795	NA	0
1990	11741	11766	1286	629	25422	0
1991	16503	11827	1504	913	30747	0
1992	10753	9348	1470	789	22364	4
1993	11985	10595	949	745	24274	0
1994	16539	16889	1688	1067	36184	1
1995	15711	17512	1647	1189	36073	14
1996	16962	20285	2326	1468	41044	3
1997	14941	20488	2467	1326	39245	23
1998	8111	4885	707	682	14506	121
1999	18074	19878	2410	1326	41695	7
2000	20609	24167	2851	1735	49372	10
2001	19552	24741	3061	1722	49078	2
2002	21126	19719	2697	2081	45658	35
2003	17765	15702	1528	1549	36659	115
2004	18278	20866	2484	1839	43490	23
2005	22088	21799	2827	1587	48331	30
2006	24583	26154	3277	2130	56144	0
2007	23234	25198	3473	2146	54088	37
2008	25148	29052	3424	2144	59774	6
2009	NA	NA	NA	1813	NA	0
2010	NA	NA	NA	1680	NA	0
2011	26953	28087	3941	2882	62109	246
2012	28289	31972	3558	3220	67396	357
2013	20998	16215	2918	2478	42913	304
2014	23607	19587	2498	1927	47691	72
2015	NA	NA	NA	NA	NA	0
