Year	PupCount
1964	4598
1975	11793
1976	11266.66667
1977	10435
1981	15818.83333
1982	18926.75
1983	11813
1984	13195
1985	15192
1986	17734
1987	19303.5
1988	12962.5
1989	14806
1990	24543
1991	30747
1992	20425.83333
1993	22778.7
1994	34763.5
1995	35609.83333
1996	40289.66667
1997	39015.33333
1998	14339
1999	41534
2000	49334.5
2001	49031.5
2002	45432
2003	36436.5
2004	43384.5
2005	48273
2006	56008.5
2007	54082
2008	59745
2009	34389.22165
2010	32966.50371
2011	61890
2012	67089
2013	38948.56312
2014	47236.48943
2015	31521.10705
