Year	Area32-54	Total
1990	9765	10683
1990	10361	11766
1992	7268	8869
1992	7617	9348
1993	8463	10595
1993	8315	10538
1993	7920	9702
1993	8366	10409
1993	7831	9698
1993	8285	10345
1994	11079	15766
1994	11885	16889
1995	11395	17512
1995	11218	16926
1996	11264	19308
1996	11841	20285
1997	11951	20488
1998	2373	4885
1999	9882	19878
2000	11323	24167
2001	11023	24741
2002	8717	19719
2003	6568	15702
2004	8167	20866
2005	8072	21799
2006	9232	26154
2007	8962	25198
2008	10134	29052
2011	9075	28087
2012	10399	31972
2013	4569	16215
2014	5676	19587
2015  3064  9963
2016  4007  14944
2017  5400  21367
2018  5609  21061
2019  5649  21593
