Year	FishingEffort	ObservedEffort	ObserverCoverage	ObservedBycatch
1981	5522	0	0	0
1982	10044	0	0	0
1983	10710	0	0	0
1984	13578	0	0	0
1985	14345	0	0	0
1986	11309	0	0	0
1987	10397	0	0	0
1988	8613	0	0	0
1989	7598	0	0	0
1990	7975	162	0.03	67
1991	7701	717	0.13	143
1992	6611	751	0.16	345
1993	7943	963	0.19	242
1994	3155	152	0.087	108
1995	2541	0	0	0
1996	2868	0	0	0
1997	3810	0	0	0
1998	3057	0	0	0
1999	4067	165	0.043	13
2000	4165	67	0.019	28
2001	3447	0	0	0
2002	3690	0	0	0
2003	3351	0	0	0
2004	3455	0	0	0
2005	2366	0	0	0
2006	2016	4	0.0031	0
2007	2215	55	0.039	34
2008	2123	0	0	0
2009	1678	0	0	0
2010	1978	57	0.042	25
2011	2043	47	0.035	6
2012	1710	75	0.055	18
2013	1486	47	NA	0
2014	1437	0	NA	0
